date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:56	31033/31033	---M--	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202026%2015:21:55%20GMT	https://andremorais.adv.br/	./andre-site/andremorais.adv.br/index.html	(from )
12:21:57	90/90	---M--	200	added ('OK')	text/plain	date:Tue,%2007%20Jul%202026%2015:21:55%20GMT	https://andremorais.adv.br/robots.txt		(from )
12:21:57	103326/103326	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Jul%202026%2015:21:56%20GMT	https://andremorais.adv.br/assets/criadordesites.css?de19f219-dacc-432e-892a-7e90317ef826	./andre-site/andremorais.adv.br/assets/criadordesitese9e5.css	(from https://andremorais.adv.br/)
12:21:58	20917/20917	---M--	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202026%2015:21:57%20GMT	https://andremorais.adv.br/consultoria	./andre-site/andremorais.adv.br/consultoria.html	(from https://andremorais.adv.br/)
12:21:59	20893/20893	---M--	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202026%2015:21:58%20GMT	https://andremorais.adv.br/litigios	./andre-site/andremorais.adv.br/litigios.html	(from https://andremorais.adv.br/)
12:22:00	18747/18747	---M--	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202026%2015:21:59%20GMT	https://andremorais.adv.br/conhecimento	./andre-site/andremorais.adv.br/conhecimento.html	(from https://andremorais.adv.br/)
12:22:01	20840/20840	---M--	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202026%2015:22:01%20GMT	https://andremorais.adv.br/contato	./andre-site/andremorais.adv.br/contato.html	(from https://andremorais.adv.br/)
12:22:02	13607/13607	---M--	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202026%2015:22:01%20GMT	https://andremorais.adv.br/cliente	./andre-site/andremorais.adv.br/cliente.html	(from https://andremorais.adv.br/)
12:22:04	261333/261333	---M--	200	added ('OK')	application/javascript	date:Tue,%2007%20Jul%202026%2015:22:02%20GMT	https://andremorais.adv.br/assets/criadordesites.js?de19f219-dacc-432e-892a-7e90317ef826	./andre-site/andremorais.adv.br/assets/criadordesitese9e5.js	(from https://andremorais.adv.br/)
12:22:04	854/854	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Jul%202026%2015:22:03%20GMT	https://andremorais.adv.br/assets/owl.video.play.png	./andre-site/andremorais.adv.br/assets/owl.video.play.7.delayed	(from https://andremorais.adv.br/assets/criadordesites.css?de19f219-dacc-432e-892a-7e90317ef826)
